,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,t6,m,tret
3820,3820,5.35,0.0,0.0,22.903731595096144,24.35963567465745,23.682223229734074,23.880934407204627,23.77258502065714,22.721935941831326,128.16322023507684,22.90747203143405
3821,3821,5.3,0.0,0.0,22.90971526098544,24.68045344059536,24.57492213664731,24.15876247281208,23.01553052316884,22.779604005676042,109.8252556358388,22.914886742800807
3822,3822,5.25,0.0,0.0,22.912688139582862,23.87010740767665,23.31089948541285,23.762132165849394,23.04002412896352,22.79326589403677,109.30950102954607,22.9225040501065
3823,3823,5.199999999999998,0.0,0.0,22.86788474555829,23.47485635194453,23.29005482811327,24.434845507330788,23.639247315170692,22.82394904786552,103.94142071542377,22.88808248668117
3824,3824,5.15,0.0,0.0,22.82383785091433,23.85745869798193,24.00296701874836,23.33064736440691,23.67974216760245,22.74276352182362,106.11153734702634,22.84037560826765
3825,3825,5.1,0.0,0.0,22.84883916837276,24.77830635432173,23.771112292112182,24.148210160824657,24.003902510214488,22.79535131314866,107.25760820098226,22.845563898858977
3826,3826,5.05,0.0,0.0,22.866148964345843,24.730403967701893,23.303083941363568,23.217630708090034,23.82484866134573,22.752940620256663,117.49203931654093,22.863147796599296
3827,3827,5.0,0.0,0.0,22.876123851462868,24.75987597874456,23.14034165967209,23.13023843223269,24.09039656510252,22.838354904959093,113.75159878877028,22.87056054990325
3828,3828,5.0,0.0,0.0,22.90383109243545,24.511135460915213,24.011926355054086,23.070282235082644,24.097251582664818,22.854925714872607,118.56712224289636,22.89248167374417
3829,3829,5.0,0.0,0.0,22.877905054408874,23.33966449189853,23.19893836815511,23.10992810570633,22.988237204660248,22.771523834282647,105.22841281290307,22.89573054399704
3830,3830,5.0,0.0,0.0,22.863305951028337,23.4692907154104,24.48898816780797,23.857876608633088,23.648675030652644,22.810687631461906,126.45466205978173,22.86611453734167
3831,3831,5.0,0.0,0.0,22.889076980156503,23.005845080849987,24.67329490179197,23.04019207018552,23.693577384785943,22.750877533083486,116.39226912069952,22.890520638171072
3832,3832,5.0,0.0,0.0,22.86825405345613,24.067323593953446,23.332280129060393,23.070122142505692,23.774451056707463,22.734882177335162,126.96860036609637,22.87377796994102
3833,3833,5.0,0.0,0.0,22.886686554408,24.862299533487807,24.515471391568127,23.31608773376718,24.24862127502389,22.835263547369646,111.12057537317264,22.882270847467307
3834,3834,5.0,175.91666666666669,0.0,22.95275249726873,23.591802798874717,23.39349313430953,24.40573246661933,24.019957728854973,22.794891271314807,123.75808198121456,22.94072003039573
3835,3835,5.0,214.83333333333331,0.0,22.960755210161338,24.286093384242328,24.20670900630481,23.234207600861573,23.810206490330987,22.734954100550176,128.16559600231628,22.963501905079088
3836,3836,5.0,253.75,0.0,22.88720854191992,23.15988760620007,24.379481560538824,24.17146672207493,23.03630632757017,22.697000651628407,108.00672930447105,22.913360148159317
3837,3837,5.0,292.66666666666663,0.0,22.880395957752608,24.576826552999574,23.189207421367392,23.14950802565584,23.531331757752838,22.692008451177486,121.56530688181908,22.890504817734772
3838,3838,5.0,331.5833333333333,0.0,22.848131420230235,24.60002342508275,24.35139228000947,23.627661718510453,23.479978377703986,22.751517775203556,101.70838040844228,22.8589410829118
3839,3839,5.0,370.5,0.0,22.86108935172561,23.26258816371315,24.88594447915953,23.029203275175828,23.66770009935781,22.75819152744566,109.77087131941532,22.863737314263464
3840,3840,5.05,409.41666666666663,0.0,22.888180840325322,23.12043060344407,24.045796637481732,24.50642245716352,24.033226746320572,22.876065117180424,123.66021482689092,22.87557359002572
3841,3841,5.1000000000000005,448.3333333333335,0.0,22.870158949877148,23.05047360546537,24.248714658993748,24.38055822035717,23.29338767387064,22.927182159268174,95.62278023943796,22.878385852762385
