DischargeAirTemperature,times
72.399810791,2017-06-01 10:39:00
72.399810791,2017-06-01 10:40:00
72.4517211914,2017-06-01 10:41:00
72.399810791,2017-06-01 10:42:00
72.399810791,2017-06-01 10:43:00
72.399810791,2017-06-01 10:44:00
72.399810791,2017-06-01 10:45:00
72.3479309082,2017-06-01 10:46:00
72.2960205078,2017-06-01 10:47:00
72.2960205078,2017-06-01 10:48:00
72.244140625,2017-06-01 10:49:00
72.244140625,2017-06-01 10:50:00
72.244140625,2017-06-01 10:51:00
72.2181854248,2017-06-01 10:52:00
72.1922302246,2017-06-01 10:53:00
72.1922302246,2017-06-01 10:54:00
72.1922302246,2017-06-01 10:55:00
72.1403198242,2017-06-01 10:56:00
72.1922302246,2017-06-01 10:57:00
72.1403198242,2017-06-01 10:58:00
72.0884399414,2017-06-01 10:59:00
72.0884399414,2017-06-01 11:00:00
72.1403198242,2017-06-01 11:01:00
72.1403198242,2017-06-01 11:02:00
72.0884399414,2017-06-01 11:03:00
72.0884399414,2017-06-01 11:04:00
72.0884399414,2017-06-01 11:05:00
72.0884399414,2017-06-01 11:06:00
72.0884399414,2017-06-01 11:07:00
72.0884399414,2017-06-01 11:08:00
72.0884399414,2017-06-01 11:09:00
72.0884399414,2017-06-01 11:10:00
72.0625,2017-06-01 11:11:00
72.0625,2017-06-01 11:12:00
72.0105895996,2017-06-01 11:13:00
72.0105895996,2017-06-01 11:14:00
72.0625,2017-06-01 11:15:00
72.0625,2017-06-01 11:16:00
72.0105895996,2017-06-01 11:17:00
72.0105895996,2017-06-01 11:18:00
72.0105895996,2017-06-01 11:19:00
71.9587097168,2017-06-01 11:20:00
71.9587097168,2017-06-01 11:21:00
71.9587097168,2017-06-01 11:22:00
71.9587097168,2017-06-01 11:23:00
71.9587097168,2017-06-01 11:24:00
72.0105895996,2017-06-01 11:25:00
71.9587097168,2017-06-01 11:26:00
71.9067993164,2017-06-01 11:27:00
71.9587097168,2017-06-01 11:28:00
71.9587097168,2017-06-01 11:29:00
71.9587097168,2017-06-01 11:30:00
71.9587097168,2017-06-01 11:31:00
71.9587097168,2017-06-01 11:32:00
71.9587097168,2017-06-01 11:33:00
71.9587097168,2017-06-01 11:34:00
71.9587097168,2017-06-01 11:35:00
71.9587097168,2017-06-01 11:36:00
71.9067993164,2017-06-01 11:37:00
71.9587097168,2017-06-01 11:38:00
71.9587097168,2017-06-01 11:39:00
71.9587097168,2017-06-01 11:40:00
71.9587097168,2017-06-01 11:41:00
71.9587097168,2017-06-01 11:42:00
71.9067993164,2017-06-01 11:43:00
71.9067993164,2017-06-01 11:44:00
